¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
7,KIA,0.272,332,5,43,635,68,0.406,0.349,0.755,91,0.289,0.244
4,KT,0.28300000000000003,334,9,30,698,67,0.439,0.354,0.7929999999999999,91,0.275,0.20600000000000002
3,LG,0.284,322,13,50,637,78,0.441,0.354,0.795,95,0.331,0.193
2,NC,0.29,313,9,62,623,67,0.469,0.36200000000000004,0.831,90,0.33299999999999996,0.294
9,SK,0.253,342,9,47,648,78,0.384,0.33299999999999996,0.7170000000000001,94,0.251,0.23
1,µÎ»ê,0.3,345,14,47,543,92,0.44,0.369,0.809,94,0.306,0.244
5,·Ôµ¥,0.275,320,13,38,535,84,0.4,0.34700000000000003,0.747,89,0.273,0.21899999999999997
8,»ï¼º,0.268,309,7,47,632,73,0.4,0.33899999999999997,0.7390000000000001,93,0.276,0.255
6,Å°¿ò,0.27399999999999997,408,12,52,679,77,0.42700000000000005,0.359,0.7859999999999999,97,0.29100000000000004,0.28300000000000003
10,ÇÑÈ­,0.23600000000000002,306,4,53,684,86,0.327,0.315,0.642,92,0.23199999999999998,0.203
