Rank,Team,HRA_RT,BB_CN,IB_CN,HP_CN,KK_CN,GD_CN,SLG_RT,OBP_RT,OPS_RT,MH_HITTER_CN,SP_HRA_RT,PH_HRA_RT
1,µÎ»ê,0.299,341,14,45,539,92,0.437,0.368,0.805,93,0.307,0.238
2,NC,0.291,309,9,62,619,66,0.469,0.362,0.831,89,0.332,0.299
3,LG,0.284,318,12,49,631,76,0.442,0.353,0.795,94,0.329,0.198
4,KT,0.284,331,9,29,685,66,0.441,0.355,0.796,90,0.274,0.208
5,·Ôµ¥,0.274,318,13,37,532,83,0.398,0.347,0.745,88,0.272,0.222
6,Å°¿ò,0.274,401,11,52,672,77,0.426,0.358,0.784,96,0.291,0.286
7,KIA,0.271,328,5,43,627,68,0.403,0.348,0.751,90,0.290,0.244
8,»ï¼º,0.268,309,7,47,632,73,0.400,0.339,0.739,93,0.276,0.255
9,SK,0.252,336,9,44,638,76,0.381,0.331,0.712,93,0.249,0.226
10,ÇÑÈ­,0.236,306,4,53,684,86,0.327,0.315,0.642,92,0.232,0.203
